中文,英文
纤维得率,fiber yield
高浓打浆,high-consistency refining
置换洗涤,displacement washing
漂白,bleaching
亚硫酸盐浆,sulfite pulp
磨浆,refining
硫化度,sulfidity
中性亚硫酸盐半化学浆,neutral sul-fite semi-chemical pulp
烧碱法浆,soda pulp
碱抽提,alkaline extraction
良浆,accepts
残碱,residual alkali
还原糖,reducing sugar
四氢树脂酸,tetrahydroresin acid
氯化锌法活性炭,activated carbon by zinc chloride activation
水解液,hydrolysate
化学活化法,chemical activation process
间歇水解,batch hydrolysis
不定形颗粒活性炭,irregular activated carbon
二段水解,two-stage hydrolysis
再生活性炭,regenerated activated carbon
木糖醇,xylitol
干馏釜,destructive distillation furnace
竹焦油,bamboo tar
脂松香,gum rosin
糠醇,furfuryl alcohol
磷酸法活性炭,activated carbon by phosphoric acid activation
左旋海松酸,levopimaric acid
硫酸盐松节油,sulfate turpentine
松油,pine oil
精制松香,refined rosin
海松二烯,pimaradiene
毛松香,barras
异海松烷,isopimarane
冷杉[香]胶,abies balsam
松香乙醇不溶物,alcohol insoluble matter of rosin
松脂,pine oleoresin
松香结晶趋势,rosin crystallization tendency
松柏烯,cembrene
优油,super turpentine oil
浅色松香,pale rosin
罗勒烯,ocimene
采脂,oleoresin tapping
樟脑,camphor
歧化松香,disproportionated rosin
别罗勒烯,alloocimene
长叶蒎烯,longipinene
钻孔法采脂,drilling-hole oleoresin tapping
松节油,turpentine
柏木烯,cedrene
莰烯,camphene
刮[皮]刀,bark shaver
强化松香,fortified rosin
长叶烯,longifolene
萜酚树脂,terpene-phenolic resin
复合采脂,multiple oleoresin tapping
苧烯,limonene
古巴烯,copaene
海松烷,pimarane
综纤维素,holocellulose
己聚糖,hexosan
结晶纤维素,crystalline cellulose
氯化木质素,chlorinated lignin
葡聚糖,glucan
纤维素衍生物,cellulose derivative
酶解木质素,enzymatic lignin
水化纤维素,hydrated cellulose
苯–醇抽提物,benzene-alcohol extractive
β-纤维素,β-cellulose
纤维素终止反应,cellulose stopping reaction
木质素–糖类复合体,lignin-carbohydrate complex
木聚糖,xylan
γ-纤维素,γ-cellulose
生物质气化供热,biomass gasifica-tion for heat supply
纤维素塑料,cellulose-based plastic
网部,wet web section
生物原油,crude bio-oil
林业生物质化学品,forest biomass chemical
生物质热解,biomass pyrolysis
表面施胶,surface sizing
伸长率,tensile stretch
白水封闭循环,white water closure
林产化学工业,chemical industry of forest product
杂化乳液,hybrid emulsion
纤维素基高分子材料,cellulose-based polymer materials
水线,dry line
抗张强度,tensile strength
生物质液化,biomass liquefaction
木质纤维素复合材料,lignocellulosebased composite
生物油,bio-oil
生物质,biomass
紫胶色素,lac dye
纸浆,pulp
红液,red liquor
塔拉单宁,tara tannin
冬青油,wintergreen oil
细浆,screened pulp
残氯,residual chlorine
生物质间接液化,indirect liquefaction of biomass
木质素单元,lignin unit
压光,calendering
紫梗,stick lac
对伞花烃,p-cymene
紫胶壳脑酸,laccishellolic acid
松针油,pine needle oil
粒胶,seed lac
柠檬桉油,eucalyptus citriodora oil
紫胶酸,lac acid
刺梧桐胶,karaya gum
柏木油,cedarwood oil
楠叶油,machilus leaf oil
鞣花单宁,ellagitannin
松根油,pine root oil
枫香脂,liquidambar oleoresin
愈创木油,guaiac wood oil
冷杉醇,abienol
冷杉油,fir needle oil
α-蒎烯,α-pinene
[中国]肉桂油,cassia oil
紫胶树脂,lac resin
松叶酸,pinifolic acid
桐油,tung oil
林产生物化学加工,forest biochemical engineering
原刺槐素,prorobinetinidin
橡椀酸二内酯,valoneaic acid dilactone
β-葡聚糖,β-glucan
戊糖发酵菌株,pentose fermentation strain
糖苷酶,glycosidase
桑葚红色素,mulberry red
云实素,brevifolin
原翠雀素,prodelphinidin
多糖,polysaccharide
漆酶,laccase
外切葡聚糖酶,exoglucanase
五倍子,gallnut
同步糖化发酵,simultaneous saccharification and fermentation
胭脂虫红,cochineal red
铬皮粉,hide powder
氧化纤维素,oxided cellulose
木质化纤维,lignified fiber
糖醛酸,uronic acid
纤维素,cellulose
酸溶木质素,acid-soluble lignin
非酚型木质素,non-phenolic lignin
原木质素,protolignin
微晶纤维素,microcrystalline cellulose
棕榈纤维,palm fiber
克–贝纤维素,Cross and Bevan cellulose
生物质化学液化,biomass chemical liquefaction
种毛纤维,seed fiber
硝化纤维素,nitrocellulose
林业生物质化学转化,forest biomass chemical conversion
下吸式生物质气化炉,down-draft bio¬mass gasifier
生物炼制,biorefinery
纤维素复合材料,cellulose-based com¬posite
生物质气化发电,power generation by biomass gasification
生物质基高分子材料,biomass-based polymer materials
紧度,density
细乳液聚合,miniemulsion polymerization
流化床生物质气化炉,fluidized-bed biomass gasifier
胶黏剂,adhesive
焦油,tar
水印,watermark
生物质液体燃料,biomass liquid fuel
生物基产品,biobased product
生物质气化炉,biomass gasifier
生物质低温热解,low temperature pyrolysis of biomass
沼气,biogas
细小纤维,fines
阳离子需求量,cationic demand
木质素基高分子材料,lignin-based polymer materials
滤水性,drainability
湿强剂,wet web strength agent
木本油脂,woody oil
拉毛,ink picks
靴式压榨,shoe press
生物塑料,bio-plastic
软压光,soft calendering
木本油料植物,woody oleiferous plant
纸两面性,two-sidedness
热磨机械浆,thermal mechanical pulp
高锰酸钾值,permanganate number
溶解浆,dissolving pulp
纸机横向,cross-machine direction
H因子,H factor
快速蒸煮,high speed cooking
压力筛,pressurized screen
加拿大标准游离度,Canadian standard freeness
全无氯漂白,total chlorine free bleaching
黑液,black liquor
强化碱抽提,reinforced alkaline extraction
中浓打浆,medium-consistency refining
碱法蒸煮,alkaline cooking
荷兰式打浆机,Hollander beater
化学热磨机械浆,chemi-thermalmechanical pulp
总碱,total alkali
纸浆净化,pulp cleaning
多段漂白,multi-stage bleaching
还原性漂白,reductive bleaching
低浓打浆,low-consistency refining
常压磨浆,atmospheric refining
劳丹型树脂酸,labdane-type resin acid
浮油,tall oil
新枞酸,neoabietic acid
枞酸,abietic acid
四氢枞酸,tetrahydroabietic acid
海松酸型树脂酸,pimaric type acid
长叶松酸,palustric acid
植物纤维原料水解,hydrolysis of plant fiber materials
树脂酸,resin acid
二氢枞酸,dihydroabietic acid
松香油,rosin oil
松焦油,pine tar
南亚松酸,mercusic acid
风干浆,air-dried pulp
二氢海松酸,dihydropimaric acid
木煤气,wood gas
绝干浆,oven-dry pulp
木材干馏,wood destructive distillation
木材热解,wood pyrolysis
乙酰丙酸,levulinic acid
桧烯,sabinene
松香色级,color grade of rosin
酸渣,acidic residue
松香衍生物,rosin derivative
精油,essential oil
水芹烯,phellandrene
栀子黄,gardenia yellow
萜烯苯乙烯树脂,styrenated-terpene resin
栀子蓝,gardenia blue
采脂刮皮,rossing
刮脂,dipping
氯化松香,chlorinated rosin
导脂器,apron
中油,middle turpentine oil
龙脑,borneol
萜品烯,terpinene
松脂池,oleoresin pool
罗汉松烷,podocarpane
芳樟醇,linalool
刮面,bark shaving face
侧沟,side gutter
聚合松香,polymerized rosin
惹烯,retene
桦树汁,birch juice
糖松酸,lambertianic acid
银杏酸,ginkgolic acid
合成樟脑,synthetic camphor
松脂蒸馏,oleoresin distillation
充脂材,resin-soaked wood
松油醇,terpineol
蒎烷,pinane
中沟,median gutter
侧沟角,side gutter angle
枞烷,abietane
改性萜烯树脂,modified terpene resin
蒈[烷],carane
柏木脑,cedrol
表壳脑醇酸,epilaksholic acid
腰果壳油,cashew nut shell oil
银杏黄酮,ginkgo flavonoid
橡椀宁酸,valoninic acid
双蒎烯,dipinene
小茴香烯,fenchene
漆酚,urushiol
紫胶桐酸,aleuritic acid
桦皮漆,birch bark lacquer
罗望子胶,tamarind gum
萜烯醇,terpenol
黄樟油,sassafras oil
桉树脑,eucalyptol
山苍子油,litsea cubeba oil
虫白蜡,Chinese insect wax
树木提取物,tree extractive
紫胶蜡,lac wax
漆蜡,lacquer wax
茴油,anise oil
小茴香油,fennel oil
安息香树胶,gum benzoin
阿拉伯胶,gum arabic
生物辅助漂白,bio-bleaching
茶多酚,tea polyphenol
无色花色素,leucoanthocyanidin
原花色素,proanthocyanidin
鞣花酸,ellagic acid
橡椀酸,valoneaic acid
木质素过氧化物酶,lignin peroxidase
棓儿茶素,gallocatechin
纤维素糖化,cellulose saccharification
功能性寡糖,functional oligosaccharide
木二糖,xylobiose
戊糖己糖同步发酵,pentose-hexose simultaneous fermentation
塔拉,tara
缩合类栲胶,condensed tannin extract
纤维寡糖,cello-oligosaccharide
松针膏,pine needle paste
木酚素,lignan
平台化合物,platform chemical
木质素降解,lignin degradation
木材提取物,wood extractive
木材化学,wood chemistry
α-纤维素,α-cellulose
无定形纤维素,amorphous cellulose
纳米纤维素,nano-cellulose
纤维,fiber
木质素前体,lignin precursor
纤维素纤维,cellulosic fiber
生物质化学工程,biomass chemical engineering
纤维素酯,cellulose ester
酚型木质素,phenolic lignin
生物质发电,power generation from biomass
软木纸,cork sheet
白水,white water
撕裂度,tear strength
林业生物质能,forest biomass energy
填料,fillers
干度,dryness
生物乙醇,bioethanol
立式生物质热解炉,vertical furnace for biomass pyrolysis
不透明度,opacity
湿稳性,hygro-stability
吸墨性,ink absorption
白度,brightness
生物质材料,biomass materials
生物质炭,biomass charcoal
可降解生物质塑料,degradable biomass plastic
上吸式生物质气化炉,up-draft bio-mass gasifier
筛分值,classifying value
碱法浆,alkali pulp
纤维干燥,fiber drying
总可滴定碱,total titratable alkali
扩散洗涤,diffusion washing
绿液,green liquor
水化度,hydration degree
损纸,broke
帚化,fibrillation
纤维分离,fiber separation
打浆度,beating degree
原浆,virgin pulp
氧碱脱木质素,alkali-oxygen delignification
化学法制浆,chemical pulping
白泥,mud
置换漂白,displacement bleaching
纤维束,fiber bundle
松香酯,rosin ester
粉状活性炭,powdered activated carbon
木材液化,wood liquefaction
木松香,wood rosin
连续水解,continuous hydrolysis
碳材料,carbon materials
活性炭,activated carbon
水解器,hydrolysis apparatus
竹炭,bamboo charcoal
海松酸,pimaric acid
成型活性炭,formed activated carbon
湿地松酸,elliotinoic acid
纸Z向,Z-direction
水蒸气法活性炭,activated carbon by water vapor activation
医用活性炭,medical activated carbon
化学浆,chemical pulp
木馏油,wood distillate oil
木炭,wood charcoal
阔叶木浆,hardwood pulp
黏状打浆,shiny beating
贝壳杉油,kauri oil
松香胺,rosin amine
生物质加压液化,biomass pressurized liquefaction
甜橙油,sweet orange oil
林业生物质精细化学品,forest biomass fine chemical
宽压区压榨,wide-nip press
果壳活性炭,fruit shell activated carbon
泌脂,oleoresin secretion
生物质直接液化,direct liquefaction of biomass
机械浆,mechanical pulp
脱色紫胶片,decolorized shellac
山达海松酸,sandaracopimaric acid
锥形磨浆机,conical refiner
树胶,gum
光学冷杉胶,optical abies balsam
原天竺葵素,propelargonidin
化学采脂,chemical oleoresin tapping
氢化松香,hydrogenated rosin
萜品油烯,terpinolene
受脂器,tin
压脂罐,oleoresin force cattle
蒈烯,carene
长叶环烯,longicyclene
脂液水洗锅,oleoresin washing cattle
异龙脑,isoborneol
3-蒈烯,3-carene
马来松香,maleated rosin
萜类化合物,terpenoid
异长叶酸,isolongifolic acid
松香中性物,neutral matter of rosin
木松节油,wood turpentine
长叶蒎烷,longipinane
壳脑醛酸,jalaric acid
葡萄糖聚棓酸酯,polygallate of glucose
β-蒎烯,β-pinene
五倍子单宁,Chinese gallotannin
漂白紫胶,bleached lac
槐豆胶,locust bean gum
乌桕油,Chinese tallow
植物单宁,vegetable tannin
脱蜡漂白胶,dewaxed bleached shellac
紫胶,lac
生漆,Chinese lacquer
杉木油,China fir oil
蒎酮酸,pinonic acid
纤维二糖,cellobiose
寡糖,oligosaccharide
酶水解,enzymatic hydrolysis
天然色素,natural colorant
己糖,hexose
原菲瑟素,profisetinidin
花色素,anthocyanidin
纸浆酶法改性,pulp enzymatic modification
越橘红,cowberry red
生物制浆,biological pulping
黑加仑红,black current red
柯子酸,chebulic acid
纤维素酶,cellulase
水解类栲胶,hydrolysable tannin extract
胭脂树橙,annatto extract
黄烷醇,flavanol
碱木质素,alkali lignin
半纤维素,hemicellulose
纤维素醚,cellulose ether
有机溶剂木质素,organosolv lignin
木质素磺酸盐,lignosulfonate
热解炉,pyrolysis furnace
生物质直燃发电,power generation by biomass combustion
流浆箱,headbox
生物质能利用,utilization of biomass energy
林业剩余物,forest residue
回转式生物质热解炉,rotary furnace for biomass pyrolysis
内施胶,internal sizing
干强剂,dry-strength agent
生物质基表面活性剂,biomass-based surfactant
气化介质,gasification agent
乳液,emulsion
生物质快速热解,fast pyrolysis of biomass
生物质气化,biomass gasification
挺度,stiffness
助留,retention
生物质热化学转化,biomass thermochemical conversion
生物质成型炭,charcoal briquette
软木砖,cork block
锥形流化床生物质气化炉,conical fluidized-bed biomass gasifier
生物质化学品,biomass chemical
生物柴油,biodiesel
生物质成型燃料,biomass briquette fuel
纸机纵向,machine direction
表面结合强度,surface bonding strength
造纸工艺,papermaking technology
返色,color reversion
卡伯值,Kappa number
生物法机械浆,bio-mechanical pulp
制浆,pulping
半游离状打浆,semi-fast beating
涂布,coating
纸浆得率,pulp yield
无元素氯漂白,elemental chlorine free bleaching
白液,white liquor
打浆,beating
消潜,latency removal
漂白浆,bleached pulp
纸浆硬度,pulp hardness
浆料浓度,pulp consistency
超级压光,super calendering
半化学浆,semi-chemical pulp
纤维润胀,fiber swelling
保水值,water retention value
卷曲,curling
爆破法,explosion process
放香槽,rosin bleeding tank
木材炭化,wood carbonization
活化炉,activating furnace
活化法,activation process
木杂酚油,wood creosote
机制木炭,charcoal rod
木醋液,pyroligneous liquor
木沥青,wood pitch
5-羟甲基糠醛,5-hydroxymethyl furfural
松香盐,rosin salt
电容活性炭,activated carbon for capacitor
果壳炭,fruit shell charcoal
颗粒活性碳,granular activated carbon
水解木质素,hydrolysis lignin
木质活性炭,wood-based activated carbon
物理活化法,physical activation process
松香,rosin
木材气化,wood gasification
木焦油,wood tar
木浆,wood pulp
竹醋液,bamboo pyroligneous liquor
二氢树脂酸,dihydroresin acid
重松节油,heavy turpentine oil
氧化松香,oxidized rosin
游离状打浆,fast beating
纤维分级,fiber classification
有效碱,effective alkali
有效氯,available chlorine
高速磨浆法,double-revolving-disc mill
活性碱,active alkali
纸浆洗涤,pulp washing
肖氏打浆度,Schopper-Riegler beating degree
纤维分离度,fiber separative degree
高得率浆,high yield pulp
绿泥,dreg
全漂化学浆,full bleached pulp
压力磨浆,pressurized refining
精磨,refining
酸法蒸煮,acid cooking
浆渣,rejects
机械法制浆,mechanical pulping
磨木浆,ground wood pulp
化学磨木浆,chemical-ground pulp
纸浆筛选,pulp screening
本色浆,brown pulp
碳纤维,carbon fiber
二氢异海松酸,dihydroisopimaric acid
针叶木浆,softwood pulp
载体活性炭,activated carbon for carrier
黑炭,black charcoal
液相脱色用活性炭,activated carbon for liquid decoloration
活性炭纤维,activated carbon fiber
木材水解,wood hydrolysis
预水解,prehydrolysis
糠醛,furfural
气相吸附用活性炭,activated carbon for gas adsorption
抗聚木焦油,anti-polymerizing wood tar
白炭,white charcoal
浮油松香,tall oil rosin
松香腈,rosin nitrile
黑松香,dark rosin
枞酸型树脂酸,abietic-type acid
加压炭化,pressure carbonization
酸水解,acid hydrolysis
脱氢枞酸,dehydroabietic acid
药用活性炭,medicinal activated carbon
劳丹烷,labdane
渗滤水解,percolation hydrolysis
双戊烯树脂,dipentene resin
枞烯,abietene
除渣器,waste-remover
脂松节油,gum turpentine
天然树脂,natural resin
采脂刺激剂,chemical stimulator for oleoresin tapping
莰[烷],camphane
割面,tapping face
香叶烯,myrcene
割面负荷率,cutting-face ratio
萜烯树脂,terpene resin
明子,light wood
异长叶烯,isolongifolene
无色松香,colorless rosin
石竹烯,caryophyllene
割脂刀,hack
紫胶壳脑醛酸,laccijalaric acid
桃胶,peach gum
熟漆,ripe lacquer
桉叶油,eucalyptus oil
萜[烯],terpene
沉香木油,agilawood oil
樟烯,laurolene
没食子单宁,gallotannin
茶树油,tea tree oil
丁香油,eugenia oil
没食子酸,gallic acid
二棓酸,digallic acid
樟烯酸,laurolenic acid
橡椀鞣花素酸,valolaginic acid
单宁酸,tannic acid
金樱子棕,rosa laevigata brown
甘露寡糖,mannooligosaccharide
木糖异构酶,xylose isomerase
内切葡聚糖酶,endoglucanase
戊糖,pentose
原桂金合欢素,proguibourtinidin
木寡糖,xylooligosaccharide
生物降解,biodegradation
糖苷,glycoside
沙棘黄,hippophae rhamnoides yellow
戊糖发酵,pentose fermentation
内切木聚糖酶,endoxylanase
纤维素结晶度,cellulose crystallinity
克拉松木质素,Klason lignin
纤维素无定形区,cellulose amorphous region
分离木质素,isolated lignin
微纤丝,microfibril
原纤丝,protofibril
纤维素剥皮反应,cellulose peeling reaction
硝化木质素,nitrolignin
植物纤维,plant fiber
纤维形态,fiber morphology
木质素,lignin
磨木木质素,milled wood lignin
纤维素结晶区,cellulose crystalline region
耐破度,burst
固定床生物质气化炉,fixed-bed bio-mass gasifier
助滤,drainage
耐折度,folding endurance
软木,cork
吸湿性,hygroscopicity
生物质热解炉,biomass pyrolysis fur¬nace
生物质燃料,biomass fuel
生物质气体燃料,biomass gas fuel
纸料,furnish
纸页定量,basis weight
软木粒,granulated cork
林产化学产品,forest chemical product
絮浆,flocculation
蒸煮,cooking
木聚糖酶,xylanase
双盘磨,double disc refiner
枫香树脂,liquidambar resin
木精,wood spirit
浆料,stock
生物转化,bioconversion
蒎酸,pinic acid
大陆性气候,continental climate
土壤蒸发,soil evaporation
平均气温,mean temperature
有效积温,effective accumulated temperature
湿度,humidity
谷风,valley breeze
实际蒸散,actual evapotranspiration
平流层,stratosphere
天气,weather
辐射平衡,radiation balance
反气旋,anticyclone
气旋,cyclone
潜热通量,latent heat flux
森林小气候,forest microclimate
粗糙高度,roughness height
蒸发,evaporation
高温,high temperature
寒极,cold pole
森林火灾气象学,forest fire meteorology
通量,flux
下垫面,underlying surface
有效蒸散,effective evapotranspiration
垂直地带性,vertical zonality
霜,frost
8级风,gale
温室效应,greenhouse effect
湿润度,humidity index
地带性气候,zonal climate
土壤呼吸率,soil respiration rate
副热带高压,subtropical high
土壤养分,soil nutrient
土壤纬度地带性,soil latitude zonality
土壤健康,soil health
土壤孔隙度,soil porosity
三维地带性,three dimensional zonality
大气稳定度,atmospheric stability
土壤湿度,soil moisture
土壤分类,soil classification
土壤形态特征,soil morphological characteristics
土壤水,soil water
土壤呼吸,soil respiration
土壤水平地带性,soil horizontal zonality
红壤,red soil
灰化土,podzol
土壤水分平衡,soil water balance
土壤诊断层,soil diagnose horizon
气候区,climatic region
物候律,phenological law
酸沉降,acid deposition
棕色针叶林土,brown coniferous forest soil
土壤pH,soil pH
黄棕壤,yellow-brown soil
土壤质地,soil texture
田间持水量,field capacity
冰期,glacial stage
假二叉分枝,false dichotomous branching
次生壁,secondary wall
富里酸,fulvic acid
木栓层,cork
世代交替,alternation of generations
土壤新生体,soil new growth
花粉,pollen
单纹孔,simple pit
土壤动物,soil animals
母岩,parent rock
纹孔,pit
小孢子叶球,microstrobilus
叶芽,leaf bud
土壤放线菌,soil actinomyces
土壤颜色,soil color
腐殖酸,humic acid
土壤细菌,soil bacteria
周皮,periderm
无融合生殖,apomixis
离子泵,ion pump
下木,underwood
阳生植物,sun plant
森林植物,forest plant
导管,vessel
维管组织,vascular tissue
信号转导,signal transduction
同化力,assimilatory power
光受体,photoreceptor
向性运动,tropic movement
呼吸商,respiratory quotient
年轮,annual ring
可见光,visible light
太阳辐射,solar radiation
草本植物,herb plant
绝对最低温度,extreme lowest temperature
混合芽,mixed bud
保护组织,protective tissue
半灌木,subshrub
维管植物,vascular plant
单盐毒害,toxicity of single salt
水通道蛋白,water channel protein
虫媒植物,entomophilous plant
锋,front
永[久]冻土,permafrost
雪害,snow disaster
雾,fog
大气环流模式,general circulation model
光能利用率,solar energy utilization efficiency
有效温度,effective temperature
焚风,foehn
寒潮,cold wave
波文比,Bowen ratio
气候带,climatic belt
反射,reflection
冻拔,frost heaving
折射,refraction
绝对最高温度,extreme maximum temperature
洪涝,flood
温室气体,greenhouse gas
季风,monsoon
平流雾,advection fog
云团,cloud cluster
大气环流,atmospheric circulation
土壤密度,soil bulk density
土壤调查,soil survey
土壤毛管孔隙度,soil capillary porosity
土壤退化,soil degradation
诊断表层,diagnostic surface horizon
硅铝化[作用],siallitization
水平地带性,horizontal zonality
诊断表下层,diagnostic subsurface horizon
土壤通气性,soil aeration
土壤水分特征曲线,soil water characteristic curve
降水变率,change rate of precipitation
厄尔尼诺,El Niño
间冰期,interglacial stage
纬度地带性,latitudinal zonality
地形雨,orographical rain
灰化[作用],podzoliation
土壤非毛管孔隙度,soil air-filled porosity
土壤导水率,soil hydraulic conductivity
腐殖质积累[作用],humus accumulation
物候期,phenophase
土壤质量,soil quality
假年轮,false annual ring
胡敏素,humin
氨化细菌,ammonifying bacteria
无限花序,indeterminate inflorescence
形成层,cambium
盐土,solonchak
孢子叶球,strobilus
雌配子体,female gametophyte
栗钙土,chestnut soil
树皮,bark
土壤肥力,soil fertility
水稻土,paddy soil
颈卵器,archegonium
固氮菌,nitrogen fixing bacteria
棕钙土,brown calcic soil
土壤真菌,soil fungi
细胞壁,cell wall
林木根系,tree root system
杂性花,polygamous flower
雌蕊,pistil
碳氮比,C/N ratio
森林土壤,forest soil
泥炭土,peat soil
中柱鞘,pericycle
维管束,vascular bundle
筛管,sieve tube
细胞分化,cell differentiation
光合作用,photosynthesis
光合磷酸化,photosynthetic phosphorylation
休眠,dormancy
脱落,abscission
抗性锻炼,hardiness
光周期现象,photoperiodism
生长延缓剂,growth retardant
光周期诱导,photoperiodic induction
相对生长速率,relative growth rate
光反应,light reaction
临界暗期,critical dark period
呼吸跃变,respiratory climacteric
卡尔文循环,Calvin cycle
春化[作用],vernalization
埃默森增益效应,Emerson enhancement effect
光饱和点,light saturation point
糖酵解,glycolysis
光照强度,illumination intensity
紫外线,ultraviolet ray
辐射强度,radiation intensity
棕红壤,brown-red soil
希尔反应,Hill reaction
韧皮部,phloem
栓塞,embolism
周韧维管束,amphicribral bundle
风媒植物,anemophilous plant
木质部,xylem
离子载体,ion carrier
次生木质部,secondary xylem
管胞,tracheid
筛胞,sieve cell
离子拮抗,ion antagonism
离子主动吸收,ionic active absorption
皮层,cortex
矿质营养,mineral nutrition
内皮层,endodermis
水分临界期,critical period of water
木本植物,woody plant
线粒体,mitochondrion
细胞全能性,cell totipotency
气孔器,stomatal apparatus
次生韧皮部,secondary phloem
有限维管束,closed bundle
太阳紫外辐射,solar ultraviolet radiation
辐照度,irradiance
生态气候图解,climate diagram
最高温度,maximum temperature
海洋性气候,oceanic climate
山风,mountain breeze
旱灾,drought damage
蒸散,evapotranspiration
温度,temperature
有效辐射,effective radiation
逆温,temperature inversion
雾凇,freezing fog
蒸腾,transpiration
台风,typhoon
森林气候,forest climate
干燥度,aridity
对流层,troposphere
白浆土,Baijiang soil
土壤–植物–大气连续体,soil-plantatmosphere continuum
土壤阳离子交换量,soil cation exchange capacity
气候学,climatology
暗棕壤,dark brown forest soil
土壤形成因素,soil formation factor
沉降,deposition
灰褐土,gray cinnamon soil
风沙土,aeolian sandy soil
淋溶[作用],eluviation
北大西洋涛动,north Atlantic oscillation
泥炭形成[作用],peat formation
气候生产力,climatic productivity
气团,air mass
暴雨,rainstorm
灰色森林土,gray forest soil
物候学,phenology
单轴分枝,monopodial branching
雌雄异株,dioecism
黑土,black soil
腐殖质组型,humus form
有限花序,determinate inflorescence
细腐殖质,mull
雄性不育,male sterility
母质层,parent material horizon
碱土,solonetz
土壤有机质,soil organic matter
皮孔,lenticel
髓心,pith
土壤藻类,soil algae
半腐殖质,moder
灰漠土,gray desert soil
灰棕漠土,gray-brown desert soil
森林凋落物层,forest litter horizon
生长轮,growth ring
第二信使,second messenger
植物生长调节剂,plant growth regulator
光合链,photosynthetic chain
渗透调节,osmoregulation
叶绿素荧光现象,chlorophyll fluorescence phenomenon
光形态建成,photomorphogenesis
植物激素,plant hormone
三重反应,triple response
过冷作用,supercooling
景天酸代谢途径,Crassulacean acid metabolism pathway
反应中心,reaction center
交叉适应,cross adaptation
脱春化[作用],devernalization
共质体运输,symplastic transport
光抑制,photoinhibition
呼吸链,respiratory chain
戊糖磷酸途径,pentose phosphate pathway
呼吸速率,respiratory rate
呼吸作用,respiration
光合午休,midday depression of photosynthesis
细胞周期,cell cycle
棕化[作用],brownification
裂生多胚,cleavage polyembryony
光化学烟雾,photochemical smog
腐殖质层,humus layer
生物自由基,biological free radical
光补偿点,light compensation point
极性运输,polar transport
生长大周期,grand period of growth
生长抑制剂,growth inhibitor
光呼吸,photorespiration
顶端优势,apical dominance
光敏素,phytochrome
生长协调最适温度,growth coordinate temperature
光系统Ⅰ,photosystemⅠ
抗氰呼吸,cyanide resistant respiration
三羧酸循环,tricarboxylic acid cycle
栓化,suberization
叶绿体,chloroplast
初生韧皮部,primary phloem
渗透作用,osmosis
离子被动吸收,ionic passive absorption
伴胞,companion cell
离子通道,ion channel
灌木,shrub
胞间连丝,plasmodesmata
辐射维管束,radical bundle
细胞凋亡,apoptosis
光谱,spectrum
地面辐射,ground radiation
光化学反应,photochemical reaction
降水,precipitation
霜冻,frost injury
活动温度,active temperature
辐射雾,radiation fog
光合有效辐射,photosynthetically active radiation
气象学,meteorology
天气现象,weather phenomena
臭氧屏障,ozone shield
大气边界层,atmospheric boundary layer
年平均气温,annual average temperature
无霜期,frost-free season
云图,cloud atlas
风速廓线,wind speed profile
活动积温,active accumulated temperature
降水强度,precipitation intensity
臭氧层,ozone layer
气象要素,meteorological element
平流层爆发性增温,stratospheric sudden warming
土壤结构,soil structure
土壤系统分类,soil taxonomy
土壤圈,pedosphere
土壤剖面,soil profile
物候图,phenogram
土壤水势,soil water potential
南方涛动,southern oscillation
土壤发生,soil genesis
淀积层,illuvial horizon
地带性,zonality
土壤经度地带性,soil longitude zonality
物候现象,phenological phenomenon
土壤垂直地带性,soil vertical zonality
土壤层,soil horizon
雌雄同株,monoecism
草甸土,meadow soil
初生壁,primary wall
花芽,flower bud
附物纹孔,vestured pit
两性花,bisexual flower
石质土,lithosol
交叉场纹孔式,cross-field pitting
潮土,fluvo-aquic soil
胼胝体,callosity
砂姜黑土,Shajiang black soil
合轴分枝,sympodial branching
单性花,unisexual flower
木栓形成层,phellogen
硝化细菌,nitrifying bacteria
离层,abscission layer
沼泽土,bog soil
反硝化细菌,denitrifying bacteria
分泌组织,secretory tissue
山地土壤,mountain soil
花粉管,pollen tube
冰雹,hail
感性运动,nastic movement
日平均气温,daily mean temperature
低温冷害,low temperature and cold damage
山谷风,hollow wind
月平均气温,monthly mean temperature
冰缘,periglacial
风害,wind damage
干热风,dry-hot wind
显热通量,sensible heat flux
桑思韦特气候分类,Thornthwaite climatic classification
日灼,sunscald
最低温度,minimum temperature
潜在蒸散,potential evapotranspiration
极端温度,extreme temperature
等值线,isoline
棕壤,brown forest soil
黄壤,yellow soil
物候历,phenological calendar
土壤物理性质,soil physical property
气候,climate
土壤形成过程,soil formation process
永久雪线,firn line
淋洗[作用],leaching
土壤矿物,soil mineral
土壤分布,soil distribution
非地带性,azonality
经度地带性,longitudinal zonality
砖红壤,latosol
淋溶层,eluvial horizon
土壤养分循环,soil nutrient circling
土壤盐基饱和度,soil base saturation percentage
梅雨,Meiyue
异形叶性,heterophylly
叶序,phyllotaxy
胚,embryo
维管形成层,vascular cambium
黑垆土,Heilu soil
黑钙土,chernozem
芽鳞痕,bud scale scar
黄绵土,loessal soil
粗腐殖质,mor
腐殖质,humus
具缘纹孔,bordered pit
交叉场,cross-field
侧根,lateral root
灰钙土,sierozem
不定根,adventitious root
土壤微生物,soil microorganism
雄配子体,male gametophyte
大孢子叶球,ovulate strobilus
雄蕊,stamen
棕漠土,brown desert soil
水分代谢,water metabolism
