中文,英文
串珠状闪电,pearl-necklace lightning
大陆度,continentality
大陆度指数,continentality index
等高线,"contour, isohypse"
等物候线,"isophenological line, isophane"
低吹沙,drifting sand
数值模拟,"numerical simulation, numerical modeling"
数值实验,numerical experiment
数字雷达,digital radar
碳氢化合物,hydrocarbons
体积平均,volume average
体积，容积,volume
先导流,pilot streamer
雪暴风,blizzard wind
盐跃层,halocline
度量,measure
多时间尺度,multiple time scale
二进制[的],binary
二年冰,second year ice
防雹,hail suppression
飞尘,fly ash
费雷尔环流,Ferrel cell
风振,wind induced oscillation
高分辨率图像传输,"high resolution picture transmission, HRPT"
高积云,"altocumulus, Ac"
高通滤波[器],high-pass filter
共轭算子,conjugate operator
孤立单体,isolated cell
孤立系统,isolated system
观测频率,observational frequency
海龙卷,waterspout
降水机制,precipitation mechanism
流泄风,drainage winds
乱卷云,"cirrus intortus, Ci in"
马尔可夫链,Markov chain
马盖效应,Macky effect
马格纳斯公式,Magnus formulas
目视飞行天气,contact weather
能量图,energy diagram
帕[斯卡],"Pascal, Pa"
碰撞[谱线]增宽,collision broadening
霹雳,thunderbolt
频域,frequency domain
求积谱,quadrature spectrum
球面函数,spherical function
人造气候,artificial climate
人造卫星,artificial satellite
人造云,artificial cloud
日，周日,diurnal
生物生态学,bioecology
生物适应性,biocompatibility
世界气候研究计划,"World Climate Research Programme, WCRP"
衰减常数,attenuation constant
衰减截面,attenuation cross section
衰减系数,attenuation coefficient
双波长多普勒雷达,dual wavelength Doppler radar
双波长雷达,dual wavelength radar
斯托克斯公式,Stokes formula
斯托克斯流函数,Stokes stream function
抬升指数,"lifting index, LI"
泰勒定理,Taylors theorem
土壤酸度,soil acidity
狭管效应,canalization
相当正压模式,equivalent barotropic model
相对角动量,relative angular momentum
相对日照,relative sunshine
硝酸盐,nitrate
虚位移原理,virtual displacement [principle]
序贯分析,sequential analysis
夜光云,noctilucent clouds
永冻作用,pergelation
永久冰雪,neve
中间层环流,mesospheric circulation
中频,"medium frequency, MF"
半地转运动,semi-geostrophic motion
原点,origin
半干旱,semi-arid
半干旱带,semi-arid zone
飑锋,squall front
飑线,squall line
顺转,veering
斯托克斯波,Stokes wave
松野格式,Matsuno scheme
随机动力预报,stochastic dynamic prediction
随机过程,stochastic process
随机合并方程,stochastic coalescence equation
随机模式,random model
随机强迫,random forcing
太阳大气潮,solar atmosphere tide
泰勒［流体］柱,Taylor column
泰勒-普鲁德曼定理,Taylor Proudman theory
泰勒数,Taylor number
泰罗斯-N卫星,TIROS-N
特大暴雨,very heavy rainstorm
特殊函数,special function
特性层,significant level
特征方程,characteristic equation
特征高度,characteristic height
体散射函数,volume scattering function
天电干扰,atmospheric noise
天气观测时间,synoptic hour
天气过程,synoptic process
天气实况演变图,meteorogram
调和级数,harmonic series
贴地层,ground layer
通风气象计,aspiration meteorograph
统计显著性检验,statistical significance test
统计学,statistics
投弃式温深仪,"expendable bathythermograph, XBT"
透光层积云,"stratocumulus translucidus, Sc tr"
纬向[度]指数,zonal index
纬向对称模式,zonally symmetric model
纬向风,zonal wind
卫星气象学,satellite meteorology
卫星闪电探测器,satellite lightning sensor
卫星探测,satellite sounding
位[势],potential
位势不稳定,potential instability
温度场,temperature field
温度垂直廓线辐射仪,"vertical temperature profile radiometer, VTPR"
[温度]递减率,lapse rate
温度平流,temperature advection
温度日较差,daily range of temperature
温度梯度,temperature gradient
温度型气候,thermal climate
温度月际变化,inter-monthly temperature variation
温深仪 深水温度仪,bathythermograph
温湿计,hygrothermograph
温湿仪,hygrothermoscope
涡动拟能,enstrophy
乌拉尔山阻塞高压,Ural blocking high
无线电经纬仪,radio theodolite
无线电气候学,radio climatology
物理统计预报,physical statistic prediction
吸收［谱］线,absorption line
吸收湿度计,absorption hygrometer
下曳气流 下沉气流,downdraught
先进云风系统,advanced cloud wind system
先验概率,prior probability
相关分析,correlation analysis
向量风标,vector vane
消转,spindown
消转时间,spindown time
消转效应,spindown effect
斜压波,baroclinic wave
斜压性,baroclinity
斜压转矩向量,baroclinic torque vector
谐波分析，调和分析,harmonic analysis
信息学,informatics
信噪比,"signal-to-noise ratio, S/N"
悬浮颗粒物,suspended particulate
旋转风,cyclostrophic wind
旋转辐合,cyclostrophic convergence
雪蚀,nivation
盐度,salinity
盐风灾害,salty wind damage
盐核,salt nucleus
盐碱化,salinization
盐量测定法,salometry
洋 海洋,ocean
氧循环,oxygen cycle
样本,sample
样本函数,sample function
叶温,leaf temperature
异常的 距平的,anomalous
异质核化,heterogeneous nucleation
因次，量纲,dimension
雨凇,glaze
雨云,"nimbus, Nb"
阈温,threshold temperature
阈限度 最低限度,threshold limit value
元古代,Proterozoic era
远月潮,apogean tide
约翰逊-威廉姆斯液态含水量探测器,"Johnson-Williams liquid water probe, J-W meter"
约化,reduction
月华,lunar corona
[月平均]温度年较差,mean annual range of temperature
月平均最高温度,monthly mean maximum temperature
云亮度,cloud luminance
云量,cloud amount
云幂灯,ceiling projector
云幂高度,ceiling height
云幂气球,ceiling balloon
云内放电,intracloud discharge
云凝结核,"cloud condensation nuclei, CCN"
云群,cloud group
云［水］化学,cloud chemistry
云素,cloud element
臭氧收支,ozone budget
大暖期,megathermal period
大雪,heavy snow
大雨,heavy rain
大雨期,great pluvial
等高面,constant height surface
地面粗糙度,surface roughness
海洋赤道,oceanographic equator
黑子群,sunspot group
降水清除,precipitation scavenging
降水型,precipitation regime
均方差,mean square deviation
可降水量,precipitable water
控制方程,governing equation
控制日,control day
冷平流,cold advection
硫酸,sulfuric acid
偏振,polarization
平均,average
平行,parallel
平行光管,collimator
期望值,expected value
球面反照率,spherical albedo
日暮霞,twilight color
沙霾,sand haze
沙漠草原,desert steppe
沙旋,sand whirl
上珥,upper-arcs
蜃景,mirage
生化作用,biochemical action
收集效率,collection efficiency
霜降,First Frost
霜日,frost day
霜凇,hard rime
水型,water type
水映空,water sky
相角,phase angle
硝化作用,nitrification
硝酸,nitric acid
暖气团,warm air mass
平均温度,mean temperature
渗流，渗出,seepage
湿沉降,wet deposition
湿度表,hygrometer
碳库,carbon pool
行星反照率,planetary albedo
雪崩,avalanche
洋中槽,"mid-ocean trough, MOT"
曳力,drag
雨洗,rainwash
元古宙,Proterozoic
云线,cloud line
折射,refraction
主站,master station
电磁辐射,electromagnetic radiation
环流圈,circulation cell
降水回波,precipitation echo
模拟法,analog method
南极气团,antarctic air [mass]
南温带,south temperature zone
透射率,transmissivity
湍流结构,turbulent structure
严冬,severe winter
严冻,killing freeze
东风波,easterly wave
放电,discharge
风寒指数,wind-chill index
海平面天气图,sea level synoptic chart
极光,aurora
角反射器,corner reflector
吸收率,absorptivity
夏半年,summer half year
4级风,moderate breeze
5级风,fresh breeze
6级风,strong breeze
7级风,neargale
χ２检验,chi square test
阿留申低压,Aleutian low
奥布霍夫判据,Obukhovs criterion
巴(旧的气压单位),bar
巴巴多斯海洋和气象试验,"Barbados Oceanographic and Meteorological Experiment, BOMEX"
百分温标,centigrade temperature scale
百分温度计,centigrade thermometer
百分误差,percentage error
半干燥,semi-arid
半干燥带,semi-arid zone
半干燥区,semi-arid region
高分辨率红外辐射探测器,"high resolution infrared radiation sounder, HRIRS"
高分辨率图像传输,"high resolution picture transmission, HRPT"
高阶闭合,higher-order closure
高空电场仪,alti-electrograph
高空图表,aerological diagram
高原气候,plateau climate
半日变化,semidiurnal variation
半滞留期,residence half-time
半周期,semiperiod
雹灾,hail damage
薄幕层云,"stratus nebulosus, St neb"
薄幕卷层云,"cirrostratus nebulosus, Cs neb"
饱和,saturation
饱和比湿,saturation specific humidity
饱和差,saturation deficit
饱和持水量,saturation moisture capacity
饱和点,saturation point
饱和空气,saturated air
暴[发]洪[水],flash flood
暴雨,"hard rain, rain storm, torrential rain"
北回归线,Tropic of Cancer
北极,boreal pole
北极陈冰,arctic pack
北极大陆空气,arctic continental air
北极大陆气团,arctic continental air mass
北极气候,arctic climate
本底场,background field
比尔定律,Beers law
海-气相互作用,ocean atmosphere interaction
海洋性气候,maritime climate
行星尺度系统,planetary scale system
恒定气体,permanent gas
级数,series
极,pole
后延系数,lag coefficient
后验概率,posterior probability
环境空气质量标准,ambient air quality standard
环境气候,environment climate
环流调整,adjustment of circulation
黄纬,celestial latitude
灰体辐射,grey body radiation
灰吸收体,grey absorber
辉光放电,glow discharge
回波分析,echo analysis
回波复合体,echo complex
回波综合图,echo synthetic chart
回归分析,regression analysis
回归估计,regression estimation
回归年，分至年,tropical year
回归系数,coefficient of regression
浑浊层，不透明层,opaque layer
活动上滑锋,active anafront
活动下滑锋,active katafront
活动中心,center of action
机载测量[仪器]，航测[记录],aircraft measurement
积云性高积云,"altocumulus cumulogenitus, Ac cug"
基本天气观测,principal synoptic observation
基本天气观测时间,"main standard time, synoptic time"
基准气候站,reference climatological station
级联过程,cascade process
级联滤波,cascade filtering
极大风速,extreme wind speed
极锋理论，极锋学说,polar front theory
极轴,polar axis
季风建立,monsoon onset
季风雨,monsoon rain
季风雨量,monsoon rainfall
季节风，周年风,anniversary wind
加权平均,weighted mean
加权余量法,weighted residual method
假绝热图,pseudo adiabatic diagram
假绝热直减率,pseudo adiabatic lapse rate
假相当位温,pseudo equivalent potential temperature
间歇性降水,intermittent precipitation
间歇性雨,intermittent rain
兼容性，相容性,compatibility
检定，检验,verification
碱性尘雾,alkali fume
建筑气候,building climate
建筑气候区划,building climate demarcation
建筑气候学,building climatology
建筑气象学,architectural meteorology
建筑日照,building sunshine
降水强度,precipitation intensity
降水型概率,probability of precipitation type
降水蒸发比,precipitation evaporation ratio
降水指数,precipitation index
降雨频率,rainfall frequency
降雨因子,"rain factor, rainfall factor"
交叉谱，互谱,cross spectrum
交叉相关,cross-correlation
交叉相关函数，互相关函数,cross correlation function
距离分辨率,range resolution
距离高度显示器,"range height indicator, RHI"
距平值,deviation
决策分析,decision analysis
决策树,decision tree
绝对变率,absolute variability
绝对标准气压表,absolute standard barometer
绝对不稳定,absolute instability
绝对高度表,absolute altimeter
绝对频率,absolute frequency
绝热过程,adiabatic process
绝热冷却,adiabatic cooling
军事气象保障,military meteorological support
军事气象情报,military meteorological information
均方根误差,"root mean square error, RMSE"
均方误差,"mean square error, MSE"
均质大气,homogeneous atmosphere
卡尔曼滤波,Kalman filtering
卡诺循环,Carnot cycle
柯本-苏潘等温线,Koppen Supan line
空盒气压计,aneroid barograph
空气流泄,air drainage
空气密度,air density
空气调节,climatization
空气污染,air pollution
空气污染标准,air pollution standard
空气污染检查器,cacaerometer
空气污染警报,air pollution alert
寇乌气压表,Kew barometer
拉尼娜,La Nina
拉普拉斯潮汐方程,Laplace tidal equation
莱曼-α湿度表,Lyman-α hygrometer
兰金涡旋,Rankine vortex
兰利（1卡/厘米2),"langley, ly"
老年冰,old ice
雷暴,thunderstorm
雷暴单体,thunderstorm cell
雷暴回波,thunderstorm echoes
波包,wave packet
波槽，波谷,wave trough
波动方程,wave equation
波动理论,wave theory
波数,wave number
波数空间,wave number space
赤道缓冲带,equatorial buffer zone
赤道逆流,equatorial countercurrent
赤道气候,equatorial climate
赤道气团,equatorial air
臭氧图,ozonogram
地球辐射,terrestrial radiation
地图投影,map projection
地温,ground temperature
电线积冰,wire icing
电晕,corona
东北低压,Northeast China low
东北季风,northeast monsoon
动力播云,dynamic cloud seeding
对马海流,Tsushima Current
二年风振荡,biennial wind oscillation
二维分布 二元分布,bivariate distribution
二项分布,binomial distribution
二项式平滑,binomial smoothing
反射地球辐射,reflected terrestrial radiation
分支函数,branched function
分子黏性,molecular viscosity
冯·诺伊曼条件,Von Neumann condition
弗劳德数,Froude number
高空病,aeroembolism
海岸带水色扫描仪,"coastal zone color scanner, CZCS"
［海］岸风,shore wind
海岸拦截波,coastally trapped waves
海滩冰,beach ice
海雾,sea fog
环境空气质量标准,ambient air quality standard
混合层高度,mixed-layer height
季节调整,seasonal adjustment
降水酸度,precipitation acidity
绝热凝结气压,adiabatic condensation pressure
［空气］颠簸,air bumps
累积冷却[量],accumulated cooling
累计雨量器,accumulative raingauge
南太平洋辐合带,"southern Pacific convergence zone, SPCZ"
年气候,year climate
年总量,annual amount
频率响应,frequency response
频数,frequency
平流层臭氧,stratospheric ozone
平流层光化学,stratospheric photochemistry
平流层化学,stratospheric chemistry
平面位置显示器,"plan position indicator, PPI"
平太阳年,mean solar year
平太阳日,mean solar day
热通量向量,heat flux vector
热污染,calefaction
热线风速表,hot wire anemometer
生理干旱,physiological drought
生理气候[学],physiological climatology
湿度,humidity
世纪［的］,secular
室内温度,indoor temperature
水位 水平面,water level
水温,water temperature
斯特劳哈尔数,Strouhal number
算法,algorithm
太阳大气,solar atmosphere
碳黑,carbon black
碳黑催化,carbon-black seeding
天气分析,synoptic analysis
天球,celestial sphere
通风干湿表,aspirated psychrometer
突变,catastrophe
位能,potential energy
污染,contamination
下一代天气雷达,"next generation weather radar, NEXRAD"
下游效应,downstream effect
线性变换,linear transformation
相关函数,correlation function
相关系数,correlation coefficient
向外长波辐射,"outgoing longwave radiation, OLR"
相变,phase change
相常数,phase constant
相图,phase diagram
硝酸盐,nitrate
谐波,harmonics
行星大气,planetary atmosphere
悬浮尘埃,suspended dust
悬浮灰分,suspended ash
悬浮胶体,suspended colloid
阳伞效应,umbrella effect
夜间辐射,nocturnal radiation
夜间急流,nocturnal jet
低云,low cloud
防霜,frost prevention
分子黏性,molecular viscosity
高空病,aeroembolism
高空槽,upper trough
高空站,upper-air station
高山冰川,mountain glacier
海水淡化,seawater desalination
行星反照率,planetary albedo
行星重力波,planetary-gravity wave
黑霜,black frost
活化,activation
加勒比海流,Caribbean current
近似,approximation
聚合,aggregation
均方差,mean square deviation
均方根,"root mean square, RMS"
自由对流高度,"level of free convection, LFC"
自由基,free radical
腐蚀,corrosion
冷涡,cold vortex
隆冬,midwinter
露水板,dew plate
能量收支,energy budget
耦合,coupling
酸雨,acid rain
太空,space
碳定年法,carbon dating
拖曳波,trailing wave
微巴,barye
中生代,Mesozoic Era
重力流,gravity current
作物需水量,crop water requirement
低云,low cloud
模数,modulus
地形急流,barrier jet
地形静止锋,orographic stationary front
地形雷暴,orographic thunderstorm
地形罗斯贝波,topographic Rossby-wave
地转剪切形变,geostrophic shearing deformation
地转流,geostrophic current
地转流函数,geostrophic stream function
地转偏差,geostrophic deviation
地转平流,geostrophic advection
地转切变,geostrophic shear
地转适应,geostrophic adjustment
电化学探空仪,electrochemical sonde
输入,input
定向雨量器，矢量雨量器,vectopluviometer
冬季严寒指数,winter severity index
冬湿寒冷气候,cold climate with moist winter
冬温冬干气候,winter moderate and winter dry climate
冬温气候类,winter moderate climate
动力不稳定,dynamic instability
动力槽,dynamic trough
动力初值化,dynamic initialization
动力催化,dynamic seeding
动力对流,dynamic convection
动力分析,dynamic analysis
动力高度,dynamic height
动力可预报性,dynamical predictability
动量下传,downward momentum transport
动能,kinetic energy
对马海流,Tsushima Current
对消比,cancellation ratio
多雨地区,pluvial region
多重回归,multiple regression
恩索,"El-Nino Southern Oscillation, ENSO"
二级环流，次级环流,secondary circulation
二级气候站,second order climatological station
范托夫定律,vant Hoffs law
放电,discharge
放射性沉降,radioactive fallout
放射性污染,active pollution
飞机颠簸,aircraft bumpiness
非黏性流体,inviscid fluid
非齐次性,inhomogeneity
非扰动太阳,undisturbed sun
非相干雷达,incoherent radar
非寻常波,extraordinary wave
非周期变化,non-periodie variation
费马原理,Fermats principle
费用函数,cost function
风浪等级,sea scale
焚风墙,foehn wall
风害,wind damage
风寒因子,wind-chill factor
风级,"wind scale, wind force scale"
风三角,pennant
风生海流,wind-generated current
风生海洋环流,wind-driven ocean circulation
风蚀[作用],eolation
风矢,wind arrow
风矢杆,wind shaft
风阻影响,windage effect
锋面降水,frontal precipitation
辐射收支,radiation budget
负变压线,katallobar
负离子,negative ion
复高积云,"altocumulus duplicatus, Ac du"
副极地高压,subpolar high
副极地气候,subarctic climate
副极光带,subauroral zone
副冷锋,secondary cold front
副热带,"subtropics, subtropical zone"
副热带的,subtropical
干旱气候,arid climate
干燥率,drying power
干燥气候,dry climate
干燥区域,aridity region
干燥因子,aridity factor
干燥指数,aridity index
高分辨率红外辐射探测器,"high resolution infrared radiation sounder, HRIRS"
高空风分析图,hodograph
高空锋,upper front
高空观测,upper-air observation
高空急流,upper-level jet stream
高空探测,aerial exploration
高空天气图,upper-air chart
高空信风,overtrades
树挂,air hoar
格林尼治民用时,"Greenwich civil time, GCT"
格林尼治平时,"Greenwich mean time, GMT"
格林尼治子午线，本初子午线,Greenwich meridian
个例研究,case study
各态历经系统,ergodic system
谷雾,valley fog
固定冰,fast ice
锢囚点,point of occlusion
锢囚锋,occluded front
锢囚气旋,occluded cyclone
光致电离,photoionization
光周期,photoperiod
光资源,light resources
轨道偏心率,orbital eccentricity
云下层,subcloud layer
云星云图分析,satellite cloud picture analysis
云型,cloud type
云涌,cloud surge
云种,cloud species
运动学边界条件,kinematic boundary condition
针叶林,coniferous forest
真太阳日,true solar day
真太阳时,true solar time
砧状积雨云,"cumulonimbus incus, Cb inc"
砧状云,anvil cloud
诊断方程,diagnostic equation
振荡周期,oscillation period
蒸气雾,steam fog
整体输送,bulk transport
枝状冰晶,dendritic crystal
志留-泥盆纪冰期,Siluro-Devonian Ice Age
质点，粒子,particle
质量控制,quality control
质量守恒,mass conservation
秩相关 等级相关,rank correlation
致死临界温度,zero point
致死温度,"thermal death point, killing temperature"
滞后交叉相关,lag cross-correlation
滞后时间,lag time
中频,"medium frequency, MF"
中性稳定,neutral stability
中亚北气候期,Middle Subboreal Climatic Phase
中央差[分],centered difference
轴对称流,axisymmetric flow
轴对称湍流,axisymmetric turbulence
昼长,daylength
昼风 日风,day breeze
主雨带,principal band
住宅微气候,apartment microclimate
锥形船用雨量器,conical marine raingauge
准地转理论,quasi-geostrophic theory
准地转流,quasigeostrophic current
准地转平衡,quasi-geostrophic equilibrium
准地转运动,quasi-geostrophic motion
准静力近似,quasi-hydrostatic approximation
准三年振荡,quasi-triennial oscillation
准无辐散,quasi-nondivergence
准周期性,quasi-periodic
资料同化,data assimilation
自记雨量计,recording pluviometer
湍流层,turbosphere
露,dew
输出,output
夏雾,summer fog
溢出,overflow
[自]适应观测,sdaptive observations
[自]适应观测网,adaptive observational network
高空锋区,upper frontal zone
高空冷锋,upper cold front
后向辐射,back radiation
积状云,cumuliform cloud
基本气流,basic flow
老挝风,Laotian wind
零维,zero dimension
罗盘，指南针,compass
能量循环,energy cycle
秋分潮,autumnal equinox tide
球面波,spherical wave
全球分析,global analysis
实际大气,real atmosphere
医疗气候学,medical climatology
大气现象,atmospheric phenomena
地形波,orographic wave
典型相关,canonical correlation
光程,optical path
光合作用,photosynthesis
可逆性,reversibility
平流加速度,advective acceleration
平面波,plane wave
碳定年法,carbon dating
正压波,barotropic wave
波幅谱,amplitude spectrum
波幅增大,wave amplification
伯努利方程,Bernoullis equation
泊松公式,Poissons formula
参数化,parameterization
动量交换,momentum exchange
动量守恒,momentum conservation
点聚图,scatter diagram
干静[力]能,dry static energy
闭合单体,closed cell
变距网格,variable grid
变量,variate
变率,variability
变形半径,deformation radius
标准气候平均值,climatological standard normal
标准气压表,normal barometer
标准时,standard time
标准水层深度,standard depth
标准通风干湿表,standard aspirated psychrometer
标准正交性,orthonormality
冰川盆地，冰川流域,glacial basin
冰后期,postglacial period
冰化[作用],glaciation
冰冷风,ice wind
冰雪圈，冰冻层,cryosphere
冰缘期,periglacial stage
波槽，波谷,wave trough
波导,wave guide
波动,wave motion
波动方程,wave equation
波数,wave number
波特（发报速率单位),baud
波状层积云,"stratocumulus undulatus, Sc un"
不活跃锋,inactive front
不稳定[度],instability
不稳定能量,instability energy
不稳定气团,unstable air [mass]
不稳定条件,unstable condition
布拉格散射,Bragg scattering
布朗扩散,Brownian diffusion
布朗运动,Brownian motion
布伦特-维赛拉频率,Brunt-Vaisala frequency
布西内斯克方程,Boussinesq equation
布西内斯克近似,Boussinesq approximation
参考文献,reference
草温表,grass thermometer
侧向混合,lateral mixing
尘暴,"dust storm, shaitan"
尘卷风,dust devil
尘霾,dust haze
臭氧光化学,ozone photochemistry
船舶观测,ship observation
吹雪,driven snow
磁倾赤道,dip equator
大冰原,ice sheet
大尺度环流,large scale circulation
大陆风,continental wind
大陆斜坡,continental slope
大陆性气候,continental climate
大气臭氧,atmospheric ozone
大气臭氧总量,atmospheric total ozone
大气浮游生物,"aerial plankton, air plankton"
大气辐射,atmospheric radiation
大气辐射收支,atmospheric radiation budget
大气光学质量,atmospheric optical mass
大气痕量气体,atmospheric trace gas
大气候,macroclimate
大气衰减,atmospheric attenuation
带通滤波[器],band pass filter
单相关,simple correlation
弹道气象学,ballistic meteorology
等高线图,contour chart
等绝对涡度路径,"constant absolute vorticity trajectory, CAVT"
等离子体层,plasmasphere
等日照线,isohel
等容气球,"constant volume balloon, tetroon"
等熵过程,isentropic process
等湿度线,isohume
等时线,isochrone
等势线,equipotential lines
等压相当温度,isobaric equivalent temperature
低 [气]压,low [pressure]
低层大气,lower atmosphere
低吹尘,drifting dust
低分辨率[云图]传真,"low resolution facsimile, LR-FAX"
低空急流,"low level jet [stream], LLJ"
低空探空仪,low altitude radiosonde
低通滤波[器],low pass filter
低指数,low index
滴谱,droplet spectrum
地球辐射,terrestrial radiation
地球辐射带,earth radiation belt
地球辐射平衡,terrestrial radiation balance
地球辐射收支试验,"Earth Radiation Budget Experiment, ERBE"
可降水汽量,precipitable water vapor
可能误差,possible error
可逆过程,reversible process
可逆循环,reversible cycle
可压缩流体,compressible fluid
可用太阳辐射,available solar radiation
空气动力粗糙度长度,aerodynamic roughness length
空气动力尾迹,aerodynamic trail
空气动力学,aerodynamics
空气污染,air pollution
空气污染标准,air pollution standard
空气污染法规,air pollution code
空气污染化学,air pollution chemistry
空气污染检测器,cacaerometer
空气污染物排放标准,air pollutant emission standard
拉普拉斯潮汐方程,Laplace tidal equation
黑球温度表,black-bulb thermometer
业务预报,operational forecast
兰姆波,Lamb wave
雷暴回波,thunderstorm echoes
雷达测风,radar wind sounding
雷达常数,radar constant
雷达等效反射率因子,radar equivalent reflectivity factor
雷达反射率,radar reflectivity
雷达雨量计比对,radar-rain gauge comparison
雷电计,ceraunograph
累积带,accumulation zone
冷锋面,cataphalanx
熵,entropy
相空间,phase space
宙,eon
垂直风速表,vertical anemometer
动力结构,dynamical structure
度盘湿度表,dial hygrometer
度盘温度表,dial thermometer
范数,norm
积云性层积云,"stratocumulus cumulogenitus, Sc cug"
绝对湿度,absolute humidity
军事气象学,military meteorology
历史序列,historical sequence
热害,hot damage
视风,apparent wind
雾状高层云,"altostratus nebulosus, As neb"
频谱,frequency spectrum
平均偏差,average departure
平流层顶,stratopause
泰勒定理,Taylors theorem
植物气候,phytoclimate
无霜日,day without frost
周日太阳潮,diurnal solar tide
坐标,coordinate
侧边界条件,lateral boundary condition
常用对数,common logarithm
动力作用,dynamic effect
对流区［域］,convective region
飞尘,fly ash
风害,wind damage
风寒因子,wind-chill factor
辐射率,radiance
高层云,"altostratus, As"
海气边界过程,air-sea boundary process
海气交换,air-sea exchange
混合层冠盖逆温,mixed-layer capping inversion
混合层厚度,mixed-layer depth
军事气象保障,military meteorological support
两年［的］,biennial
亮带,bright band
蒙特卡罗方法,Monte-Carlo method
蒙特卡罗模式,Monte Carlo model
逆辐射,counter radiation
逆湿,moisture inversion
逆梯度,upgradient
逆梯度输送,upgradient transport
庞加莱公式,Poincare formula
庞加莱剖面,Poincare cross section
平稳期,stationary phase
TS评分,threat score
气候韵律,climatic rhythm
气候灾害,climate damage
气候栽培界限,climatic cultivation limit
热带低压,tropical depression
热带东风急流,tropical easterlies jet
热力学模式,thermodynamic model
热力学温标,thermodynamic scale of temperature
入渗,infiltration
守恒格式,conservation scheme
双峰谱,bimodal spectrum
太阴年,lunar year
太阴月,lunation
特征函数,characteristic function
统计预报,statistical forecast
湍流云,turbulence cloud
温度表,thermometer
下现蜃景,lower mirage
异步通信,asynchronous communication
异步遥相关,asynchronous teleconnection
异常传播,abnormal propagation
整体里查森数,bulk Richardson number
冰粒,ice particle
冰消,deglaciation
波长,wave length
波阵面，波锋,wave front
孤立子,soliton
检波,detection
流量,discharge
流形,manifold
平面位置显示器,"plan position indicator, PPI"
突变,catastrophe
突变论,catastrophe theory
湍流层顶,turbopause
雪堆,snow drift
最大设计平均风速,maximum design wind speed
云幔,velo cloud
不定转移系统 非可递系统,intransitive system
不舒适区,discomfort zone
不透辐射热性,athermancy
不稳定［度］,instability
不稳定气团,unstable air ［mass］
不稳定条件,unstable condition
步长,step size
部分干旱,partial drought
参数,parameter
参数化,parameterization
参数模式,parametric model
侧向混合,lateral mixing
测雹板,hailpad
测风法,anemometry
层结大气,stratified atmosphere
层结流体,stratified fluid
差值分析，差分分析,differential analysis
产量预报,yield forecasting
长波槽,long-wave trough
常规,routine
场,field
场面气压,airdrome pressure
超长波,ultra-long wave
尘降,dust fall
尘卷风,dust devil
尘粒,lithometeor
尘霾,dust haze
尘雾,dust fog
赤道潜流,equatorial undercurrent
赤道无风带,equatorial calms
赤道西风带,equatorial westerlies
臭氧层,ozonosphere
臭氧光化学,ozone photochemistry
臭氧耗势,ozone-depleting potential
臭氧探空仪,ozonesonde
出口区,exit region
初始条件,initial condition
传导,conduction
传导电流,conduction current
传递函数,transfer function
纯洁冰，蓝冰,blue ice
磁层,magnetosphere
次季节振荡,subseasonal oscillation
次生[飑]带,secondary bands
大冰原,ice sheet
大暖期气候,megathermal climate
［大气］不稳定度,［atmospheric］ instability
大气层结 大气分层,atmospheric stratification
大气长波,atmospheric long wave
大气潮,atmospheric tide
大气电学,atmospheric electricity
大气动力学,atmospheric dynamics
大气反演,atmospheric retrieval
大气辐射收支,atmospheric radiation budget
大气光化学,atmospheric photochemistry
大气候学,macroclimatology
大气扩散,atmospheric diffusion
大气扩散方程,atmospheric diffusion equation
大气逆辐射,atmospheric counter radiation
大气热力学,atmospheric thermodynamics
大气生物学,aerobiology
大气声学,atmospheric acoustics
大气湿度,atmospheric humidity
氮循环,nitrogen cycle
大气消光,atmospheric extinction
大气氧化剂,atmospheric oxidant
大气遥感,atmospheric remote sensing
大水灾,flood catastrophe
大型蒸发器,evaporation tank
带吸收,band absorption
单站［天气］预报,single station ［weather］ forecast
等高平面位置显示器,"constant altitude plan position indicator, CAPPI"
等回波线,iso-echo contour
等压面,isobaric surface
等压线,isobar
等压相当温度,isobaric equivalent temperature
等盐度线,isohaline
低指数,low index
地面反照率,surface albedo
地面能见度,"surface visibility, ground visibility"
地平线,skyline
地气系统反照率,albedo of the earth atmosphere system
地球辐射平衡,terrestrial radiation balance
地球静止环境卫星,"Geostationaty Operational Environment Satellite, GOES"
地球物理学,geophysics
地球资源技术卫星,"earth resources technology satellite, ERTS"
地图［放大］因子,map factor
地形强迫[效应],topographic forcing ［effect］
地形微气候,contour microclimate
地形雾,orographic fog
地形雪线,orographic snowline
地云闪电,ground-to-cloud discharge
地质气候,geological climate
地中海季风,Etesians
地中海气候,Mediterranean climate
地中海气团,Mediterranean air mass
地转运动,geostrophic motion
递推公式 循环公式,recurrence formula
第二类条件［性］不稳定,"conditional instability of the second kind, CISK"
第二型冷锋,type II cold front
典范矩阵,canonical matrix
典型变数,canonical variable
典型方程,canonical equation
典型回归,canonical regression
点涡,point vortex
电测湿度计,electrical hygrometer
电测温度计,electrical thermometer
电磁辐射,electromagnetic radiation
电码说明,code specification
[电容]放电式风速计,condenser discharge anemometer
电容雨量计,capacitance rain gauge
定常波,stationary wave
东风带,"easterly zone, easterly belt"
动力边界条件,dynamic boundary condition
动力初值化,dynamic initialization
动力对流,dynamic convection
动力高度,dynamic height
动力结构,dynamical structure
动力可预报性,dynamical predictability
动力米,dynamic meter
动力黏性系数,dynamic viscosity coefficient
动压力,dynamic pressure
