中文,英文
生物标记,biomarker
异龄林,uneven-aged forest
生物降解,biodegradation
生物膜法,biofilm process
生物吸附,biological adsorption
蚁客,symphile
生物指数,biotic index
生物圈,biosphere
遗传预先倾向性,genetic predisposition
生物能[量]学,bioenergetics
生物量/呼吸量比,biomass/respiration ratio
生物节律,biological rhythm
生物通气法,bioventing process
生物接触氧化反应器,biological contact oxidation reactor
生物系统,biological system
异体受精,allogamy
生物有效性 生物可利用性,bioavailability
异速生长,allometry
生物可降解性,biodegradability
生物膜,biofilm
异化[作用],dissimilation
生长习性,growth habit
生殖努力,reproductive effort
剩余生产量,surplus production
食底栖生物者,benthos feeder
食木性,xylophagy
失汇,missing sink
生育控制,birth control
生长锥,increment borer
剩余空间,residual space
生殖腺指数,gonadosomatic index
剩余污泥,surplus sludge
生理生态学,physiological ecology
施肥,fertilization
食客,trophobiont
生长效率,growth efficiency
食肉性,sarcophagy
湿度计,hygrograph
生殖周期,reproductive cycle
食腐动物,saprophage
生理死亡率,physiological mortality
生殖价,reproductive value
时间格局,temporal pattern
土壤水分常数,soil moisture constant
家蝇性诱剂,muscalure
格局分析,pattern analysis
非生物生境成分,abiocoen
放射性沉降物,radioactive fallout
干扰,disturbance
能值,emergy
净生产率,net production rate
肥沃草甸,fertile meadow
脚踏石假说,stepping-stone hypothesis
风成地貌,eolian landform
净生长量,net growth
废物处理,waste treatment
净初级生产比率,net primary production per gross primary production ratio
景天酸代谢,crassulacean acid metabolism
绞杀植物,strangler
泥炭,peat
费希尔对数级数,Fisher's logarithm series
角质膜蒸腾,cuticular transpiration
泥滩生物群落,ochthium
警戒色,warning coloration
[风土]驯化 气候驯化,acclimatization
净同化 表观同化,net assimilation
γ丰富度,gamma richness
逆流循环,countercurrent circulation
落叶采收器,litter trap
精明捕食假说,prudent predation hypothesis
逻辑斯谛种群生长,logistic population growth
孑遗植物区系 残遗植物区系,relic flora
接触性化学物质,contact chemicals
孑遗种 残遗种,relict species
皆伐,clear cutting
经度地带性,longitudinal zonality
经济危害水平,economic injury level
伦敦黏土植物区系,London clay flora
精明捕食者,prudent predator
结合种 联系种,binding species
浸水带,emersion zone
落叶剂,defoliant
景观,landscape
景观规划,landscape planning
脚踏石模型,stepping-stone model
进化迟滞 进化延滞,evolutionary retardation
求偶场,lek
精子竞争,sperm competition
逻辑斯谛曲线 S形曲线,"logistic curve,sigmoid curve"
经济灭绝,economic extinction
紧急学说,emergency-only hypothesis
猎物-捕食者模型 洛特卡-沃尔泰拉模型,Lotka-Volterra model
陆封种,land-locked species
流水群落,running water community
邻域物种形成,parapatric speciation
猎物-捕食者方程 洛特卡-沃尔泰拉方程,Lotka-Volterra equation
林地表层,forest floor
生产者,producer
林德曼效率,Lindeman's efficiency
临界昼长,critical day length
生产生态学,production ecology
林内放牧,forest grazing
林冠[层] 冠层,canopy
林德曼定律 百分之十定律,Lindeman's law
区别种,differential species
生活型谱,life form spectrum
露点,dew point
生活史对策,life history strategy
龄组,age group
临界氧,critical dissolved oxygen
淋洗作用,leaching
生活废物,sanitary waste
浮游底栖生物,planktobenthos
孪生种,twin species
生境分离,habitat segregation
浮叶植物群系,floating-leaf formation
滤食动物 悬食动物,filter feeder
浮游生物,plankton
绿色化工,green chemical industry
卵鞍,ephippium
内布拉斯加冰期,Nebraskan glacial period
辐照度,irradiance
内寄生物,endoparasite
内聚力学说,cohesion theory
耐盐性,salt tolerance
内温动物,endotherm
内寄生性,internal parasitism
浮叶植被,floating-leaved vegetation
封闭系统,closed system
卵块,egg mass
浮游植物,phytoplankton
落叶木本群落,deciduilignosa
内禀增长率 内禀增长力,intrinsic rate of increase
绿色革命,green revolution
三角洲,delta
配子,gamete
沙漠沉积,desert deposit
沙丘,dune
能量枯竭,energy drain
森林指示植物,forest indicator
沙[尘]暴,sandstorm
偏途顶极,plagioclimax
年龄组 龄级,age class
沙面生物,epipsammon
森林生境指示植物,site indicator plant
年轮,annual ring
年代面积假说 年代分布区假说,age and area hypothesis
能量耗散,energy dissipation
杀线虫剂,nematocide
能量流程图,energy flow diagram
沙漠群落,desert community
珊瑚生态系统,coral reef ecosystem
漂流卵,drifting egg
交互作用,interaction
浓缩系数 富集系数,concentration factor
排盐,salt elimination
暖流,warm current
排泄,excretion
黏着诱捕器,sticky trap
暖温带落叶阔叶林,warm-temperate deciduous forest
碱性植物,alkaliplant
农家肥,farmyard manure
间冰期,interglacial period
渐危种,vulnerable species
奴役[现象],dulosis
江古田植物区系,Egota flora
偶见种,occasional species
牛轭湖,oxbow lake
黏性卵,adhesive egg
间断层,discontinuity layer
渐近线,asymptote
检疫,quarantine
建群种,constructive species
频率依赖选择,frequency-dependent selection
熵,entropy
摄食地点,feeding place
上层疏伐,crown thinning
上颚腺信息素,mandibular gland pheromone
社群联结,social bond
贫养,oligotrophy
摄食高度,grazing height
交配前行为,premating behavior
频率百分比,frequency percentage
社群性学习,social learning
上行效应,bottom-up effect
深渊山丘,abyssal hill
上临界温度,upper critical temperature
深海群落,abyssal community
上层,overstory
平均拥挤度-平均密度比,mean crowding-mean density ratio
平均数标准误差,standard error of the mean
透性系数,permeability coefficient
掩蔽效应,masking effect
盐土,salted soil
同源性状,homologous character
同种相残 同类相食,cannibalism
岩生植被,rock vegetation
样方,quadrat
透水性,water permeability
衍征 离征,apomorphy
演替,succession
样本量,sample size
氧张力,oxygen tension
遗传变异,genetic variation
有机磷杀虫剂,organophosphorus insecticide
样线[截取]法,line intercept method
有机颗粒物,organic particulate matter
雨养农业,rainfed farming
有害生物管理,pest management
诱捕率,trappability
遗传多样性指数,genetic diversity index
有机负荷,organic loading
叶面积密度,leaf area density
萎蔫系数 凋萎系数,wilting coefficient
污染指示生物,pollution indicating organism
无翅雌蚁,ergatogyne
温带雨林,temperate rain forest
涡流相关法,eddy correlation method
污着群落,fouling community
无限种群,infinite population
稳定性,stability
温度调节者,thermoregulator
温度选择 温度偏好,thermopreferendum
窝卵数,clutch size
污水灌溉,sewage irrigation
无机营养生物,lithotroph
无灰重量,ash-free weight
温泉群落,thermium
萎蔫,wilting
郁闭植被,closed vegetation
原生动物,protozoa
元素循环,element cycle
温带落叶林,temperate deciduous forest
无霜季,frostless season
郁闭度,crown density
物种起源,origin of species
植物志,flora
物质循环,matter cycle
新仙女木事件,Younger Dryas
物种饱和度,species saturation
微卫星DNA,microsatellite DNA
植物生长调节剂,plant growth regulator
图解样方,chart quadrat
物质流分析,material flow analysis
无意人为引入植物,anthropophyte
植物区系成分,floristic element
新达尔文学说,neo-Darwinism
新质 新生特性,emergent property
植物附生物,epiphytic periophyton
植物生态学,plant ecology
物流,matter flow
植物修复,phytoremediation
物种入侵,species invasion
微宇宙 小宇宙,microcosm
物种群集,species packing
少耕法,less-tillage system
平衡理论,equilibrium theory
密闭系统循环,circulation of closed system
谱分析,spectral analysis
气穴现象,cavitation
漫游底栖生物,vagile benthos
气压计,barograph
栖息地斑块,habitat patch
气候因子,climatic factor
民族植物学,ethnobotany
普查,inventory
气孔阻力,stomatal resistance
气生植物,aerophyte
觅食,foraging
棉象甲性诱剂,grandlure
密度比,density ratio
平行群落,parallel community
瓶颈效应,bottleneck effect
栖息地岛屿 生境岛屿,habitat island
冒纳罗亚观测站,Mauna Loa Observatory
密度制约因子,density-dependent factor
气候图,climatograph
屏障效应,barrier effect
栖息群,roosting colony
密度-聚集度系数,density-contagiousness coefficient
栖息地多样性 生境多样性,habitat diversity
密度比例因子,density-proportional factor
栖息地选择 生境选择,habitat selection
群丛,association
群落系统发生 群落系统发育,phylocoenogenesis
群落生态学,community ecology
群落生态群 群落渐变群,coenocline
取样单元,sampling unit
全新世,Holocene Epoch
群落表面,community surface
群集度,sociability
群落生境,biotope
群落功能,community function
群居性昆虫,colonial insect
群落动态,community dynamics
确定性系统,deterministic system
全寄生物,holoparasite
取样分布,sampling distribution
前滨,foreshore
迁徙动物,migrant
全或无定律,all or none law
耐冻植物,freezing-tolerant plant
群居相,gregaria phase
取样 抽样,sampling
迁入者,immigrant
食物环节,food link
人工气候室,phytotron
人为演替,anthropogenic succession
热带高草草原 高草稀树草原,highgrass savanna
热带高山矮曲林 高山矮曲林,elfin forest
扰动,perturbation
热量测定,calorimetry
群属,alliance
食物可利用性假说,food availability hypothesis
日节律,daily rhythm
社会行为,social behavior
食藻性动物,algivore
容重,bulk density
食性 摄食习性,feeding habit
群体生态学,synecology
收获法,harvest method
外动性土壤,ectodynamorphic soil
土壤退化 土壤恶化,soil deterioration
生态因子,ecological factor
土壤水分枯竭,soil water depletion
土壤杀菌 土壤消毒,soil sterilization
嗜压细菌,barophlic bacteria
外来植物,alien plant
脱叶,defoliation
外寄生物,ectoparasite
嗜雪植物,chianophile
外动性演替,ectodynamic succession
[实验]驯化,acclimation
嗜火性菌类,fireplace fungus
土壤水分特征曲线,soil moisture characteristic curve
拓殖,colonization
生态学,ecology
嗜碱性植被,basophilous vegetation
因果模型,causal model
水层区,pelagic zone
遗传修饰生物体,genetically modified organism
树皮苔藓,corticolous bryophyte
树沼,swamp
霜害,frost injury
双重抽样,double sampling
异质性,heterogeneity
遗传相似系数,coefficient of genetic similarity
水表下漂浮生物,infraneuston
树限,tree limit
树冠层,crown canopy
树冠率,crown ratio
遗传一致度,genetic identity
遗传距离,genetic distance
疏林林分,open stand
水生演替系列,hydroarch sere
水生动物,hydrocole
下行控制,top-down control
瞬时剩余生产率,instantaneous rate of surplus production
嫌压性,barophobic
水培,hydroponics
细粒环境,fine-grained environment
水质评价,water-quality assessment
水圈,hydrosphere
显性标记,dominant marker
死亡率,mortality
瞬时死亡率,instantaneous death rate
相对生长法,relative growth method
隐匿色,concealing color
向光性,phototropism
小高位芽植物,microphanerophyte
消化,digestion
外因周期,extrinsic cycle
网络分析,network analysis
线性因子,linear factor
乡村林业,rural forestry
香农函数,Shannon function
相似性指数,index of similarity
隐生生物,cryptobion
隐存种 表型相似种,cryptic species
外因[性]演替,exogenetic succession
陷阱诱捕器,pit-fall trap
网格系统,grid system
香农-维纳指数,Shannon-Wiener index
网格自动机 细胞自动机,cellular automata
有效种群大小,effective population size
形态测量学,morphometrics
须根系,fibrous root system
行为主义,behaviorism
行为多型,polyethism
有效土壤深度,effective soil depth
选择压[力],selection pressure
悬浮物摄食,suspension feeding
穴居,pit dwelling
性诱剂,sex attractant
嗅觉指标,olfactory index
休眠卵 滞育卵,resting egg
性角色逆转,sex role reversal
选择吸收,selective absorption
选择透性,selective permeability
有机污染物,organic pollutant
休眠孢子,resting spore
胸高直径,diameter at breast height
选型交配,assortative mating
休眠,dormancy
有效积温,effective accumulated temperature
性信息素,sex pheromone
序列相关系数,serial correlation coefficient
畜牧业,stock farming
选择,selection
有性生殖,sexual reproduction
性别间选择,intersexual selection
性状,character
序位,hierarchy
性母,sexupara
选择指数,selectivity index
穴居动物 洞穴动物,cavernicolous animal
需光量,light requirement
性皮肿胀,sexual swilling
亚化石,subfossil
增殖率,rate of reproduction
再造林,reafforestation
杂交,hybridization
再循环,recycle
浊度 浑浊度,turbidity
亚大陆性气候,subcontinental climate
亚成虫,subimago
杂草干草原,forb steppe
循环期,circulation period
暂时萎蔫,temporary wilting
杂种优势,hybrid vigor
杂食性,omnivority
增长型种群,expanding population
吸收光谱,absorption spectrum
沼泽地,everglade
针叶乔木群落,conisilvae
物种形成,speciation
小种,microspecies
整体性模型,holistic model
正密度制约因子,positive density-dependent factor
振荡,oscillation
沼生湿地,palustrine wetland
真浮游生物,euplankton
整体概念,holistic concept
植被异质性,vegetation heterogeneity
协方差分析,analysis of covariance
碳同化作用,carbon assimilation
涌泉,rheocrene
永久生境,permanent habitat
营养结构,trophic structure
营养繁殖,vegetative reproduction
优势度,dominance
碳固存,carbon sequestration
优势种,dominant species
营养分解层,tropholytic zone
游泳底栖生物,nektobenthos
游走动物,errantia
优势度指数,dominance index
碳汇,carbon sink
特有性密度 地方性密度,endemic density
优势序位,dominance order
替代种,substitute species
他感作用 化感作用,allelopathy
田间持水量,field capacity
酸沉降,acidic precipitation
调和湖泊型,harmonic lake type
稀有植物,stranger plant
苔藓群落学,bryocoenology
同生群 同龄群,cohort
泰勒幂法则,Taylor's power law
同源性,homology
酸土植物,oxylophyte
挺水植物,emerged plant
随机生态位边界假说,random niche-boundary hypothesis
酸生演替系列,oxysere
通常竞争,conventional competition
太阳能值,solar emergy
系统发生 系统发育,phylogeny
同属种,congeneric species
通气,aeration
种群无限制增长,unchecked increase of population
种群曲线,population curve
种群调节,population regulation
种间交互作用,interspecific interaction
昼夜变异,diurnal variation
种-面积效应,species-area effect
昼长,day length
种群结构,population structure
种群生物学,population biology
种系渐变论,phyletic gradualism
种群形成,population formation
周期性增长量,periodic increment
种群大小,population size
种内社会,intraspecific society
自然灾害,natural catastrophes
亚热带,subtropical zone
主根,main root
自由度,degree of freedom
自然调节,natural regulation
自然服务,nature's service
资源谱,resource spectrum
质外体,apoplast
总死亡率,total mortality
综合防治,integrated control
自由飘浮水生植物群落,free floating hydrophyte community
中深底栖生物,mesobenthos
自由飘浮水生植物,free floating water plant
指向植物,compass plant
秩和检验,rank-sum test
总生殖率,gross reproductive rate
总次级生产量 总第二性生产量,gross secondary production
最优化 最适化,optimization
最大持续产量 最大持续收获量,maximum sustainable yield
最大持水量,maximum water holding capacity
多化性,multivoltine
种-面积曲线,species-area curve
种群增长率,population growth rate
指示种,index species
种间竞争,interspecific competition
昼夜周期 日周期,daily periodicity
种群波动,population fluctuation
亚极带,subpolar zone
源斑块,source patch
亚[演替]顶极,subclimax
自溶[现象],autolysis　
自体吞噬[作用],autophagy
最大经济产量 最大经济收获量,maximum economical yield
山地,montane
木本植物,woody plant
泥流,mud-flow
人工景观 人造景观,man-made landscape
下临界温度,lower critical temperature
石面生物,epilithic organism
费尔德群落 费尔德草原,veld
合适性假说,favorableness hypothesis
石生演替系列,lithosere
土壤演化,soil evolution
土壤因子,edaphic factor
配偶选择,mate choice
草甸,meadow
连接度指数,connectivity index
相空间,phase space
退化林,degraded forest
半沙漠,half-desert
等级,caste
退化,degeneration
土著区系,indigenous flora
历史植物地理学,historical plant geography
偏途演替顶极,disclimax
捕食者-猎物系统,predator-prey system
老化,aging
生态系统发育,ecosystem development
气压表,barometer
植被覆盖百分率,percentage of vegetation
冻拔,frost heaving
食虫性,entomophagy
竞争者,competitor
碳源,carbon source
有害生物综合治理,integrated pest management
古老特有性,epibiotic endemism
爆发式进化,explosive evolution
保卫配偶,mate guarding
矮刺灌丛,phrygana
宿主,host
常数,constant
最适度,optimum
暗适应,dark adaption
常绿群落,evergreen community
矮生椰子群落,dwarf palm garrige
暗层生物,stygobiont
腐泥,muck
土壤-植被关系,soil-vegetation relationship
非密度制约因子,density-independent factor
模拟 仿真,simulation
炫耀,display
指示植物,indicator plant
植被,vegetation
城市气候,urban climate
生物需氧量,biological oxygen demand
植被分类,vegetation classification
北大西洋涛动,north Atlantic oscillation
暗性发芽,dark germination
暗生性浮游生物,skoto-plankton
澳洲马来区,Austro-Malayan region
碳固定,carbon fixation
生产力假说,productivity hypothesis
产卵绝食,spawning starvation
虫害,insect pest
产量锥体 产量金字塔,production pyramid
产量曲线,yield curve
测径带,diameter band
重捕[获],recapture
动态平衡,dynamic equilibrium　
定向发育 渠限发育,canalized development
产量/呼吸量比,production /respiration ratio
定向进化,orthogenesis
产幼虫,larviposition
产热,thermogenesis
侧根,lateral root
动态规划,dynamic programming
常量营养物 大量营养物,macronutrient
K对策,K-strategy
旱生演替,xerarch succession
合作狩猎,cooperative hunting
固定年龄分布,stationary age distribution
寡食者,oligophage
河岸植被,riparian vegetation
毒性阈值,toxicity threshold
固着动物,sessile animal
独居动物,solitary animal
好动种类,kinetophilous species
动物[演替]顶极,zootic climax
固体废物,solid waste
合作 协作,cooperation
独占领域,exclusive territory
关键因子分析,key factor analysis
河岸林 河边林,riparian forest
固定型种群,stationary population
短命植物,ephemeral plant
洞穴生物学,speleobiology
对数级数分布,logarithmic series distribution
K对策者,K-strategist
固着生物,sessile organism
核域,core area
环境绩效指标,environmental performance index
红树林,mangrove
化石生物群落,fossil biocoenosis
呼吸根,respiratory root
后生动物,metazoan
恒渗透压动物,homoiosmotic animal
活捕器 活捕陷阱,live-trap
还原性模型,reductionistic model
环境论,environmentalism
呼吸商,respiration quotient
恒水性植物,homoiohydric plant
后继适应,abaptation
洪涝湿地,flood wetland
恒温动物,"homeotherm,homoiotherm"
湖沼湿地,lacustrine wetland
黑白瓶法,light and dark bottle method
湖下层,hypolimnion
湖沼群落,limnium
单优种群落,monodominant community
分水岭,divide
不透水层,aquifuge
捕食昆虫,predaceous insect
分室系统方法,compartmental system approach
草本层,herb layer
单优种群丛,consociation
草原植物,poophyte
草甸草原,meadow steppe
草地生态学,grassland ecology
粪堆计数,pellet count
捕食效率,predation efficiency
单种植物小群,clan
残余斑块,remnant patch
分支发生 分支进化,cladogenesis
岛屿生物地理学说,theory of island biogeography
地文顶极群落,physiographic climax
低潮线,low tidal mark
地理分隔,vicariance
底栖动物,zoobenthos
等值线,isopleth
地形梯度变异 地形渐变群,topocline
地被物,ground cover
底栖植物 水底植物,benthophyte
地理区域,geographic area
底表浮游生物,epibenthic plankton
等级系统 层级系统,hierarchical system
敌对行为,hostility
归化植物 驯化植物,naturalized plant
等值线图,isogram
等位基因,allele
静水水域,standing water
飓风,hurricane
开放大洋,open ocean
竞争系数,competitive coefficient
放牧促进,grazing facilitation
竞争排斥原理,competition exclusion principle
聚类分析,cluster analysis
均匀度,evenness
竞争曲线,competition curve
卡尔文循环,Calvin cycle
卡廷加群落,caatinga
均匀分布 规则分布,uniform distribution
拒食剂,anti-feedant
竞争释放,competitive release
防护林,shelter forest
均变说,uniformitarianism
寒极,cold pole
抗干燥性,desiccation resistance
抗生[作用],antibiosis
抗虫性,insect resistance
利用性竞争,exploitation competition
基因多样性指数,gene diversity index
离散型模型,discrete model
可捕量 可捕性,catchability
归化种 驯化种,naturalized species
抗性适应,resistance adaptation
粒度,grain
基础代谢,basal metabolism
抗盐性,salt resistance
霍普金斯生物气候律,Hopkins' bioclimatic law
利用比率,exploitation rate
可持续管理,sustainable management
立体农业,multi-storied agriculture
可持续利用,sustainable use
理论生态学,theoretical ecology
集体防御 结群防卫,group defense
盖度级,cover class
几何分布,geometric distribution
钙土植物,calcicole plant
复杂性理论,complexity theory
覆盖植被,cover vegetation
集约放牧,dense pasture
负载力 环境容纳量,carrying capacity
急流动物区系,torrential fauna
两极性 两极同源,bipolarity
激流群落,swift-water community
两栖植物 假水生植物,amphiphyte
腐殖营养水,dystrophic water
腐殖质,humus
级联模型,cascade model
负反馈,negative feedback
复合农林业 农林复合系统,agroforestry
干草原,grass heath
附属种,satellite species
腐殖泥,gyttja
富营养,eutrophy
腐泥岩,sapropelith
负趋光性,negative phototaxis
高茎草原,tall-grass prairie
格洛格尔律,Gloger's rule
隔离种 岛屿种,insular species
非平衡说,nonequilibrium theory
干燥散热,dry heat loss
非选型交配,disassortative mating
非生物因子,abiotic factor
放射性碳定年,radiocarbon dating
个体生长率,individual growth rate
感光性,photonasty
非密度制约,density independent
非平衡模型,nonequilibrium model
寄生食物链,parasite food chain
加里格群落,garigue
非生物悬浮物,abioseston
非相互作用的放牧系统,non-interactive grazing system
个体论概念,individualistic concept
高茎草型,tall-grass type
个体变异,individual variation
麦克诺顿优势指数,McNaughton's dominance index
南回归线,Tropic of Capricorn
螨植共生,acarophily
内层底栖生物,endobenthos
耐逆性,stress tolerance
马尔萨斯过渔,Malthusian overfishing
麦克阿瑟折棒模型,MacArthur's broken-stick model
耐温性,temperature toleration
内栖生物 内生生物,endobiont
内生菌根,endotrophic mycorrhiza
南方涛动,southern oscillation
森林游憩,forest recreation
年龄体长换算表,age-length key
散点图,scatter diagram
杀虫剂,insecticide
散布力,vagility
偏害共生,amensalism
沙浴,sand bathing
森林生态学,forest ecology
入侵 侵入,invasion
软泥,ooze
年龄分布,age distribution
莎草沼泽,sedge bog
配偶外交配,extra-pair copulation
能量转化者 能量转换器,energy transformer
年龄鉴定特征,age determination character
漂浮动物,zooneuston
森林气象学,forest meteorology
年龄结构,age structure
散居相,solitaria phase
散布多态性 散布多态现象,dispersal polymorphism
森林带,forest zone
入渗量,infiltration capacity
肉茎植物,stem succulent
漂浮生物,neuston
帕拉莫群落,paramo
兼性厌氧菌,facultative anaerobic bacteria
甲壳类浮游生物,crustacean plankton
降海洄游 降河繁殖,catadromy
间歇河[流] 季节河[流],intermittent stream
间断平衡说,punctuated equilibrium theory
排卵,ovulation
农药残留,pesticide residue
黏盘,claypan
交换性盐基,exchangeable base
黏捕法,sticky trap method
平衡假说,balanced hypothesis
摄食垂直移动,diet vertical migration
平衡选择,balancing selection
频率表,frequency table
深层带,bathypelagic zone
平均拥挤度,mean crowding
频度定律,frequency law
摄食水流,feeding current
渗透理论,percolation theory
深海[底]带,bathyal zone
上行控制,bottom-up control
深渊水层带 深渊层,abyssopelagic zone
奢侈吸收,luxury absorption
频谱,frequency spectrum
渗养者,osmotroph
地理隔离,geographic isolation
等级组织,hierarchical organization
地貌,landform
低体温,hypothermia
等温线,isotherm
地力级,land capability class
凋落物量,litter size
地形雪线,orographic snowline
活性污泥法,activated sludge method
季节演替 季相演替,seasonal succession
霍普夫分岔 霍普夫分支,Hopf's bifurcation
块茎地下植物,tuber geophyte
季风雨林,monsoon forest
空间景观模型,spatial landscape model
空间梯度,spatial gradient
点样方分析法,point quadrat analysis
空间格局,spatial pattern
点污染源,point source of pollution
季节替代种,seasonal vicariad
获得抗性,acquired resistance
计数样方法,count quadrat method
几何平均,geometric mean
空间异质性学说,theory of spatial heterogenity
地域特有种,local endemic species
季相,seasonal aspect
客虫,synoekete
控制火烧,controlled burning
调转趋性,klinotaxis
过敏原,allergen
泛滥平原,flood plain
泛热带植物,pantropical plant
发光生物,luminous organism
二分法,dichotomy method
过度开发 过度利用,overexploitation
反硝化细菌,denitrifying bacteria
反馈,feedback
过渡顶极 暂时顶极,transient climax
二倍体,diploid
二项分布,binomial distribution
光合/呼吸比,photosynthesis/respiration ratio
灌丛沙漠,creosote bush desert
光能测定仪,actinometer
灌木植物,suffruticosa plant
海洋性气候,oceanic climate
灌木植被,shrubby vegetation
光[能]自养生物,photoautotroph
关键种,key species
光合商,photosynthetic quotient
莱斯利矩阵,Leslie matrix
光化学反应,photochemical reaction
光照阶段,photophase
拉尼娜,La Niña
光补偿点,light compensation point
广义适合度,inclusive fitness
关联系数,association coefficient
灌溉,irrigation
海藻植被,marine algae vegetation
广食者 多食者,polyphage
海洋湿地 海岸湿地,marine wetland
海洋生物群,marine biota
灌木带,shrub zone
含水层,aquifer
肥满度,coefficient of condition
净生态系统生产力,net ecosystem productivity
风洞,wind tunnel
能值功率,empower
景观指数,landscape index
交替结实,alternate year bearing
净初级生产量 净第一性生产量,net primary production
能值/货币比率,emergy/＄ ratio
分布障碍,distributional barrier
交配行为,mating behavior
泥石流,mud and rock flow
α丰富度,alpha richness
风速计,anemometer
净同化[速]率,net assimilation rate
逆温层,inversion layer
逆城市化,counter-urbanization
景天酸代谢植物 CAM植物,crassulacean acid metabolism plant
清晨水势,predawn water potential
进化时间,evolutionary time
精子取代机制,sperm displacement mechanism
经济阈值,economic threshold
节水农业,water saving agriculture
落叶阔叶林 夏绿林,deciduous broad-leaved forest
进展演替,progressive succession
求偶礼物,nuptial gift
丘陵地带 山麓地带,hill belt
求偶喂食,courtship feeding
接触性毒剂,contact poison
裸地景观,denuded landscape
孑遗特有种,relic endemic species
禁牧区 限外区,exclosure
逻辑斯谛增长方程,logistic growth equation
流水营养生物,rheotrophic organism
生活史 生活周期,life cycle
林型,forest type
林分,stand
零模型,null model
零净增长等值线,zero net growth isoline
趋光性,phototaxis
林缘,forest margin
生产率,production rate
陆架动物区系,shelf fauna
浮游生活期,pelagic phase
内动力土[壤],endodynamorphic soil
耐污性,pollution tolerance
内因[性]演替,endogenetic succession
落叶阔叶林带,deciduous broad-leaved forest zone
麦克阿瑟平衡说,MacArthur equilibrium theory
气候雪线,climatic snowline
气候稳定学说,climatic stability theory
毛皮收购记录,pelt record
欺骗色,deceiving coloration
气候宗,climatic race
觅食行为,foraging behavior
气候变化,climatic change
起源中心,center of origin
气态物循环 气体型循环,gaseous type cycle
气候顶极群落,climatic climax
气生根,aerial root
灭绝,extinction
敏感模型,sensitivity model
气候演替系列,clisere
全变态类,holometabola
确定性模型,deterministic model
群丛地理变异,geographical variant of association
去除法,removal method
去除调查法,removal census
全球变暖,global warming
群落发生演替,syngenetic succession
群落稳定性,community stability
全球生物多样性信息机构,Global Biodiversity Information Facility
迁移农业,shifting agriculture
群落分布学,synchorology
前顶极,preclimax
群落演替,community succession
牧场条件,range condition
迁出,emigration
社会等级,social hierarchy
食物消费量,food consumption
人为干扰,human disturbance
食物引诱物,food attractant
食用植物,food plant
群体狩猎,group hunting
热泉,hot spring
人工牧地,seeded pasture
热量计,calorimeter
群[体]选择,group selection
食物转化效率,food conversion efficiency
世代重叠,overlapping of generation
生理干燥,physiological dryness
热汇,heat sink
人与生物圈自然保护区,Man and Biosphere Reserve
食物环,food cycle
生理多态性 生理多态现象,physiological polymorphism
人为植被,anthropogenic vegetation
食物选择,food selection
热量收支,heat budget
次生代谢物,secondary metabolite
储藏组织,reserve tissue
臭氧,ozone
垂直生命表,vertical life table
雌雄异株,dioecy
波恩公约,Bonn Convention
储藏物质,reserve substance
垂直分布替代种,altitudinal vicariad
传播体,disseminule
对数-正态假说,log-normal hypothesis
储藏,hoarding
多层林,multistratal forest
春季循环期,vernal circulation period
多境起源种,polytopic species
出生扩散,natal dispersal
次生群落,secondary community
垂直带逆转,inversion of altitudinal zone
多氯联苯,polychlorinated biphenyls
传播 散布,dissemination
捕获量,catch
初级生产者 第一性生产者,primary producer
储存库,reservior pool
垂直气候带,vertical climatic zone
大爆炸式生殖,big-bang reproduction
城市大气环流,urban atmospheric circulation
大气圈,atmosphere
潮下带,subtidal zone
大气环流模型,general circulation model
粗密度,crude density
大型浮游植物,macrophytoplankton
存活,survivourship
潮间带生态学,intertidal ecology
粗腐殖质层,duff horizon
大潮,spring tide
大陆度,continentality
超盐水 高盐水,ultrahaline water
超微型浮游生物 微微型浮游生物,picoplankton
粗粒环境,coarse-grained environment
次生演替系列,secondary sere
大量元素 常量元素,macroelement
达尔文适合度,Darwinian fitness
巢域 活动范围,home range
城市承载力,urban carrying capacity
次生演替,secondary succession
存活值,survival value
大冰河期,great ice age
多维空间 超空间,hyperspace
半灌木,half-shrub
白化体,albino
池塘群落,pool community
大眼幼体,megalopa larva
多循环湖,polymictic lake
多年生植物,perennial plant
斑块性,patchiness
城市农业,urban agriculture
城市生态规划,urban ecological planning
大洋岛,oceanic island
多型进化,polytypic evolution
大型藻类,macroalgae
顶极群落复合体,climax complex
半落叶林,semi-deciduous forest
巴西稀树草原,campo limpo
饱和差,saturation deficit
带间动物,interzonal fauna
顶极群落,climax community
大种,macrospecies
斑块停留时间,patch residence time
根瘤,root nodule
更新概率模型,renewal probability model
根压,root pressure
构造种,structural species
古北区,Palearctic region
环境异质性假说,environmental heterogeneity hypothesis
共生生物,symbiont
古老植物,epibiotic plant
环境选择,environmental selection
荒漠植物,eremophyte
婚后飞行,post-nuptial flight
混交林分,mixed stand
荒漠群落,eremus
工业黑化现象,industrial melanism
黄化,etiolation
构件生物,modular organism
环境阻力,environmental resistance
汇斑块,sink patch
共轭生态规划,conjugate ecological planning
灰壤,podsol
动物群落,zoobiocenosis
顶极种,climax species
古生物群落,palebiocoenosis
赤道无风带,doldrums
单顶极学说 单顶极理论,monoclimax hypothesis
变种,variety
冰期孑遗植物区系,glacial relic flora
表型多态性,phenotypic polymorphism
冰碛,moraine
比叶面积,specific leaf area
冰蚀作用,glacial erosion
